business_name,category_slug,suburb_slug,contact_email,phone,website,source_url,source_checked_on,verification_status,notes
J. Day Plumbing,plumber,thornbury,josh@jdayplumbing.com.au,0402 649 599,https://www.jdayplumbing.com.au/,https://www.jdayplumbing.com.au/plumbers-thornbury/,2026-07-14,pending_review,Official page confirms Thornbury emergency plumbing and Melbourne-suburb service.
Pure Plumbing,plumber,thornbury,info@pureplumbingaus.com,0483 932 518,https://www.pureplumbingaus.com/,https://www.pureplumbingaus.com/areas/thornbury,2026-07-14,pending_review,Official service page at www.pureplumbingaus.com states plumber and Thornbury suburb coverage.
Select Plumbing & Gas,plumber,thornbury,,0420 646 641,https://selectplumbingandgas.com.au/,https://selectplumbingandgas.com.au/thornbury-plumber/,2026-07-14,pending_review,Official service page at selectplumbingandgas.com.au states plumber and Thornbury suburb coverage.
Inner City Plumbing,plumber,thornbury,,1300 668 834,https://innercityplumbing.com.au/,https://innercityplumbing.com.au/locations/thornbury,2026-07-14,pending_review,Official Thornbury location page confirms licensed plumbing services.
O'Shea Plumbing,plumber,thornbury,,03 9888 2887,https://www.osheaplumbing.com.au/,https://www.osheaplumbing.com.au/plumber-thornbury/,2026-07-14,pending_review,Official plumber-thornbury page at www.osheaplumbing.com.au states plumbing services and Thornbury.
Neighbourhood Plumbing,plumber,thornbury,office@neighbourhoodplumbing.com.au,0488 885 122,https://neighbourhoodplumbing.com.au/,https://neighbourhoodplumbing.com.au/service-areas/plumber-thornbury/,2026-07-14,pending_review,Official Thornbury service page confirms Melbourne plumbing business contact details.
Twigg Electric,electrician,thornbury,,0417 117 029,https://twiggelectric.com.au/,https://twiggelectric.com.au/,2026-07-14,pending_review,Official contact page at twiggelectric.com.au states electrician services and Thornbury suburb coverage.
Datanet Electrical Services,electrician,thornbury,info@datanetelec.com.au,(03) 9484 2621,https://www.datanetelec.com.au/,https://www.datanetelec.com.au/,2026-07-14,pending_review,Official site lists Thornbury address phone and email.
MCG Electrical,electrician,northcote,admin@mcgelectrical.com.au,0432 452 487,https://www.mcgelectrical.com.au/,https://www.mcgelectrical.com.au/electrciannorthcote,2026-07-14,pending_review,Official Northcote service page lists electrical services Melbourne coverage phone email and REC 34349.
ProVoltage Pty Ltd,electrician,reservoir,info@provoltage.com.au,(03) 9021 0921,https://www.provoltage.com.au/,https://www.provoltage.com.au/contact.php,2026-07-14,pending_review,Official contact page lists Reservoir VIC address phone email and electrical contractor services.
Alex Shakeri Electrics,electrician,preston,info@alexshakerielectrics.com.au,0423 278 327,https://alexshakerielectrics.com.au/,https://alexshakerielectrics.com.au/,2026-07-14,pending_review,Official site states Preston service coverage and lists email phone and REC 24154.
181 Electrical,electrician,preston,admin@181electrical.com.au,0403 734 299,https://www.181electrical.com.au/,https://www.181electrical.com.au/service-area/electrician-preston-3072-victoria-181-electrical,2026-07-14,pending_review,Official Preston service page lists electrical services phone email and REC 28888.
Cosma Electrics,electrician,northcote,nick@cosmaelectrics.com.au,0401 079 332,https://www.cosmaelectrics.com.au/,https://www.cosmaelectrics.com.au/,2026-07-14,pending_review,Official site lists Northcote address electrical services phone email and REC 27851.
Service Today,electrician,reservoir,,1300 725 760,https://www.servicetoday.com.au/,https://www.servicetoday.com.au/electricians/electrician-melbourne/electrician-reservoir/,2026-07-14,pending_review,Official electrician-reservoir page at www.servicetoday.com.au states electrician and Reservoir.
SharkShock Electrical and Data,electrician,reservoir,info@sharkshockelectrical.com.au,0412 895 633,https://sharkshockelectrical.com.au/,https://sharkshockelectrical.com.au/,2026-07-14,pending_review,Official site lists Reservoir VIC electrical services phone and email.
Petrelli Electrical,electrician,fairfield,info@petrellielectrical.com.au,1800 738 735,https://petrellielectrical.com.au/,https://petrellielectrical.com.au/contact-us,2026-07-14,pending_review,Official contact page lists Fairfield among service areas plus electrical services phone email and REC 24872.
Cuttin' Hedge Gardening Services,landscaper,preston,cuttinhedgegardening@gmail.com,0421 676 491,https://www.cuttinhedge.com.au/,https://www.cuttinhedge.com.au/,2026-07-14,pending_review,"Official site lists gardening services and service coverage for Preston, Reservoir, Northcote, Thornbury and Fairfield."
Saxon's Lawn & Garden Care,landscaper,northcote,saxonslawnandgardencare@hotmail.com,0435 097 522,https://saxonslawnandgardencare.com/,https://saxonslawnandgardencare.com/,2026-07-14,pending_review,Official service page at saxonslawnandgardencare.com states landscaping and Northcote suburb coverage.
Hedge & Stone,landscaper,thornbury,simon@hedgeandstone.com.au,0418 563 938,https://hedgeandstone.com.au/,https://hedgeandstone.com.au/landscaping-thornbury/,2026-07-14,pending_review,Official service page at hedgeandstone.com.au states landscaping and Thornbury suburb coverage.
Bespoke Landscapes,landscaper,thornbury,info@bespokelandscapes.com.au,0421 281 410,https://www.bespokelandscapes.com.au/,https://www.bespokelandscapes.com.au/landscaping-thornbury,2026-07-14,pending_review,Official service page at www.bespokelandscapes.com.au states landscaping and Thornbury suburb coverage.
Polar Cleaning,cleaner,thornbury,,0425 399 879,https://www.polarcleaning.com.au/,https://www.polarcleaning.com.au/contact-us/,2026-07-14,pending_review,"Official contact page lists Thornbury address, public phone, and residential, commercial and end-of-lease cleaning services."
Pauls Cleaning Melbourne,cleaner,northcote,,03 8400 4770,https://www.paulscleaningmelbourne.com.au/,https://www.paulscleaningmelbourne.com.au/domestic-cleaning/northcote/,2026-07-14,pending_review,Official service page at www.paulscleaningmelbourne.com.au states cleaning and Northcote suburb coverage.
Registered Painting and Decoration Pty Ltd,painter,northcote,registeredsam1998@gmail.com,0405 566 408,https://registeredpaintinganddecorationptyltd.com.au/,https://registeredpaintinganddecorationptyltd.com.au/,2026-07-14,pending_review,"Official site lists painting services, Northcote in its service suburbs, and public contact details."
In Need Of A Painter?!,painter,northcote,info@inneedofapainter.com.au,0425 760 370,https://inneedofapainter.com.au/,https://inneedofapainter.com.au/,2026-07-14,pending_review,"Official site lists residential and commercial painting, Northcote service coverage, and public contact details."
Paint Melbourne,painter,northcote,info@paintmelbourne.com,03 9017 2581,https://www.paintmelbourne.com/,https://www.paintmelbourne.com/northcote-painters/,2026-07-14,pending_review,Official contact page at www.paintmelbourne.com states painters and Northcote suburb coverage.
Full Coverage Building Maintenance Pty Ltd,carpenter,preston,info@fcbm.com.au,03 7044 0588,https://www.fcbm.com.au/,https://www.fcbm.com.au/location/preston/,2026-07-14,pending_review,Official location/preston page at www.fcbm.com.au states carpentry and Preston.
Bonnici Building Services,carpenter,reservoir,,0412 198 999,https://www.bonnicicarpentry.com.au/,https://www.bonnicicarpentry.com.au/contact-us/,2026-07-14,pending_review,"Official site lists Reservoir address, public phone, carpentry services, and service coverage including Reservoir and Preston."
Lonibuild Carpentry,carpenter,thornbury,,0402 272 997,https://www.lonibuild.com.au/,https://www.lonibuild.com.au/,2026-07-14,pending_review,Official site identifies qualified carpentry services and explicitly lists Thornbury and Northcote in its Melbourne service areas.
Releaf Eco Cleaning,cleaner,northcote,,0413 910 784,https://www.releafecoservices.com,https://www.releafecoservices.com/contact-us,2026-07-14,pending_review,Official contact page lists Northcote service area and public phone.
McCleanz,cleaner,northcote,info@mccleanz.com.au,1300 788 931,https://mccleanz.com.au,https://mccleanz.com.au/pages/contact-us,2026-07-14,pending_review,Official contact page lists Northcote address and public phone.
Recom Cleaning,cleaner,northcote,info@recomcleaning.com.au,03 8374 7642,https://www.recomcleaning.com.au,https://www.recomcleaning.com.au,2026-07-14,pending_review,"Official site lists cleaning services, Northcote address, phone, and email."
Cleo's Cleaning,cleaner,northcote,cleaning@cleoscleaning.com,0402 555 496,https://cleoscleaning.com,https://cleoscleaning.com,2026-07-14,pending_review,Official site states it provides domestic cleaning in Northcote and lists public contact details.
Hygeia Co,cleaner,thornbury,hello@hygeiaco.com.au,03 8678 1856,https://hygeiaco.au,https://hygeiaco.au,2026-07-14,pending_review,"Official site lists cleaning services, Thornbury location, phone, and email."
SupaClean Plus,cleaner,preston,info@supacleanplus.com.au,0406 480 578,https://www.supacleanplus.com.au,https://www.supacleanplus.com.au,2026-07-14,pending_review,Official site lists commercial and domestic cleaning services with Preston address and public contact details.
Feel Fresh Cleaning Service,cleaner,preston,contact@feelfreshcleaning.com.au,0433 452 349,https://www.feelfreshcleaning.com.au,https://www.feelfreshcleaning.com.au,2026-07-14,pending_review,"Official site lists Preston address, cleaning services, phone, and email."
Cleanzil,cleaner,preston,info@cleanzil.com.au,0422 684 342,https://cleanzil.com.au,https://cleanzil.com.au/contact-us,2026-07-14,pending_review,"Official contact page lists Preston address, phone, and email."
Abroen Cleaning Services,cleaner,preston,,0437 269 594,https://www.abroencleaningservices.com.au,https://www.abroencleaningservices.com.au/contact,2026-07-14,pending_review,Official contact page lists Preston and public phone.
Global Sunsets,cleaner,reservoir,enquiries@globalsunsets.com.au,1300 348 010,https://globalsunsets.com.au,https://globalsunsets.com.au,2026-07-14,pending_review,"Official site lists Reservoir address, cleaning services, phone, and email."
BD Cleaning Services,cleaner,reservoir,bdcommercial09@gmail.com,0430 084 462,https://bdcleaningservices.com.au,https://bdcleaningservices.com.au/contact,2026-07-14,pending_review,"Official contact page lists Reservoir office, phone, email, and cleaning services."
Moving Champs,cleaner,fairfield,info@movingchamps.com.au,1800 870 500,https://movingchamps.com.au,https://movingchamps.com.au/vic/melbourne-greater/fairfield/cleaning-services-fairfield/,2026-07-14,pending_review,Official Fairfield service page lists house and office cleaning.
Sparkle and Shine,cleaner,fairfield,,03 9088 3118,https://www.sparkleandshine.today,https://www.sparkleandshine.today/cleaning/melbourne/local/house-cleaning-services-fairfield/,2026-07-14,pending_review,Official Fairfield service page lists house cleaning services and public phone.
Ankars,cleaner,fairfield,,03 9544 9622,https://ankars.com.au,https://ankars.com.au/areas/commercial-cleaning-fairfield/,2026-07-14,pending_review,Official Fairfield service page lists commercial cleaning services and public phone.
Justin Hutchison Landscape Design,landscaper,preston,admin@justinhutchison.com.au,03 8609 1780,https://www.justinhutchison.com.au/,https://www.justinhutchison.com.au/,2026-07-14,pending_review,Official site lists public business contact details.
Inner City Nature,landscaper,preston,pb@innercitynature.com.au,0418 369 448,https://www.innercitynature.com.au/,https://www.innercitynature.com.au/,2026-07-14,pending_review,Official site lists public business contact details.
Green Spaces Landscape Design & Construction,landscaper,fairfield,admin@greenspacesldc.com.au,0424 037 917,https://www.greenspacesldc.com.au/,https://www.greenspacesldc.com.au/,2026-07-14,pending_review,Official site lists public business contact details.
Mcnuttndorff Landscapes,landscaper,northcote,lori@mcnuttndorff.com.au,0438 900 881,https://www.mcnuttndorff.com.au/,https://www.mcnuttndorff.com.au/contact,2026-07-14,pending_review,Official Northcote contact page lists public business details.
The Landscape Building Company,landscaper,northcote,jake@lbclandscapes.com.au,0421 841 363,https://lbclandscapes.com.au/,https://lbclandscapes.com.au/contact,2026-07-14,pending_review,Official Northcote contact page lists public business details.
Studio Alba,landscaper,thornbury,info@studioalba.com.au,03 8457 8614,https://studioalba.com.au/,https://studioalba.com.au/portfolio/thornbury/,2026-07-14,pending_review,Official contact page at studioalba.com.au states landscape design and Thornbury suburb coverage.
Ben Saunders Landscapes,landscaper,thornbury,contact@bensaunderslandscapes.com,0408 381 968,https://www.bensaunderslandscapes.com/,https://www.bensaunderslandscapes.com/,2026-07-14,pending_review,Official site lists public business contact details.
STEM Landscape Architecture & Design,landscaper,northcote,hello@stemlandscape.com,0448 740 174,https://stem.stagingplatform.com.au/,https://stem.stagingplatform.com.au/people-and-services/,2026-07-14,pending_review,Official Northcote service page lists public business details.
Simon Ellis Landscape Architects,landscaper,northcote,office@simonellis.com.au,03 8685 8699,https://simonellis.com.au/,https://simonellis.com.au/contact/,2026-07-14,pending_review,Official Northcote contact page lists public business details.
James Dawson Design,landscaper,northcote,info@jamesdawsondesign.com.au,0432 420 780,https://jamesdawsondesign.com.au/,https://jamesdawsondesign.com.au/contact-us/,2026-07-14,pending_review,Official Northcote contact page lists public business details.
Leading Edge Landscape & Design,landscaper,northcote,matt@leadingedgelandscape.com.au,0403 273 599,https://www.leadingedgelandscape.com.au/,https://www.leadingedgelandscape.com.au/northcote-landscape-design-construction,2026-07-14,pending_review,Official Northcote service page lists public business details.
Josh Norman Landscapes,landscaper,northcote,josh@normanlandscapes.com.au,,https://www.normanlandscapes.com.au/,https://www.normanlandscapes.com.au/landscapers-northcote/,2026-07-14,pending_review,Official Northcote service page lists public email.
Lux Brush Painting,painter,thornbury,luxbrushpainting@outlook.com,0414 065 051,https://luxbrushpainting.com.au/,https://luxbrushpainting.com.au/,2026-07-14,pending_review,Official site lists public business contact details.
Melbourne City Maintenance,painter,northcote,,0403 162 374,https://melbournecitymaintenance.com.au/,https://melbournecitymaintenance.com.au/,2026-07-14,pending_review,Official site lists public business contact details.
GB Painters,painter,fairfield,,0413 958 596,https://www.gbpainters.com.au/painters-fairfield/,https://www.gbpainters.com.au/painters-fairfield/,2026-07-14,pending_review,Official Fairfield service page lists public phone.
McIntosh Painters,painter,fairfield,dave@mcintoshpainters.com.au,0423 685 189,https://mcintoshpainters.com.au/,https://mcintoshpainters.com.au/painters-fairfield/,2026-07-14,pending_review,Official Fairfield service page lists public business details.
Blue Sky Coatings,painter,fairfield,,0416 983 746,https://www.blueskycoatings.com.au/,https://www.blueskycoatings.com.au/painters-in-fairfield/,2026-07-14,pending_review,Official Fairfield service page lists public phone.
VicPainter,painter,reservoir,admin@vicpainter.com,0401 851 598,https://www.vicpainter.com/,https://www.vicpainter.com/,2026-07-14,pending_review,Official site lists Reservoir contact details.
NP Carpentry & Construction,carpenter,northcote,info@npcc.com.au,0412 613 565,https://www.npcc.com.au/,https://www.npcc.com.au/,2026-07-14,pending_review,Official site lists public business contact details.
RMP Builders,carpenter,preston,hello@rmpbuilders.com.au,0419 599 334,https://rmpbuilders.com.au/,https://rmpbuilders.com.au/,2026-07-14,pending_review,Official site lists public business contact details.
Voltra Electrical,electrician,preston,,0413 421 667,https://voltraelectrical.com.au/,https://voltraelectrical.com.au/electrician-preston,2026-07-14,pending_review,Website is recorded as the business source; the page was reviewed but did not explicitly state Preston service coverage.
Katskleaning,cleaner,reservoir,,0449 953 809,https://katskleaning.com.au/,https://katskleaning.com.au/,2026-07-14,pending_review,Website is recorded as the business source; the site did not respond when checked so category and suburb evidence need later confirmation.
