business_name,address,category_slug,suburb_slug,contact_email,phone,website,source_url,source_checked_on,verification_status,notes
Poultry Line,"27 Massey Avenue, Reservoir VIC 3073",butcher,reservoir,,+61 3 9462 6789,,https://www.openstreetmap.org/node/1455649565,2026-07-15,pending_review,Imported from OpenStreetMap.
Deli & Liquor Outlet,,alcohol,darebin,,,,https://www.openstreetmap.org/node/1455654823,2026-07-15,pending_review,Imported from OpenStreetMap.
Unique Hair Design,,hairdresser,darebin,,,,https://www.openstreetmap.org/node/1455654824,2026-07-15,pending_review,Imported from OpenStreetMap.
Joseph Amerena Pharmacy,,pharmacy,darebin,,,,https://www.openstreetmap.org/node/1455654825,2026-07-15,pending_review,Imported from OpenStreetMap.
Foodworks,,supermarket,darebin,,,,https://www.openstreetmap.org/node/1666781009,2026-07-15,pending_review,Imported from OpenStreetMap.
Milk Bar Convenience Store,,convenience,darebin,,,,https://www.openstreetmap.org/node/1704832025,2026-07-15,pending_review,Imported from OpenStreetMap.
The Window Cnr Cafe,3 Mendip Road,cafe,darebin,,+61 3 9478 7251,https://www.facebook.com/TheWindowCnrCafe,https://www.openstreetmap.org/node/1704835587,2026-07-15,pending_review,Imported from OpenStreetMap.
Yuni's Kitchen,"251 High Street, VIC 3070",restaurant,darebin,,+61 455 337 666,https://www.yuniskitchen.com.au/,https://www.openstreetmap.org/node/1725251798,2026-07-15,pending_review,Imported from OpenStreetMap.
The Old Milkbar,144 Dundas Street,cafe,darebin,,+61 3 9043 6227,https://theoldmilkbar.com.au/,https://www.openstreetmap.org/node/1731762753,2026-07-15,pending_review,Imported from OpenStreetMap.
Northcote Social Club,"301 High Street, Northcote VIC 3070",nightclub,northcote,,+61 3 9489 3917,https://northcotesocialclub.com/,https://www.openstreetmap.org/node/1787860634,2026-07-15,pending_review,Imported from OpenStreetMap.
Red Door Corner Store Cafe,70 Mitchell Street,cafe,darebin,,+61 3 9489 8040,https://www.reddoorcornerstore.com.au,https://www.openstreetmap.org/node/1865193916,2026-07-15,pending_review,Imported from OpenStreetMap.
Koutsis Pharmacy,"925 High Street, Thornbury VIC 3071",pharmacy,thornbury,,,,https://www.openstreetmap.org/node/1959962973,2026-07-15,pending_review,Imported from OpenStreetMap.
Dundas Street Family Medical Practice,4 Dundas Street,doctors,darebin,,+61 3 9484 2007,,https://www.openstreetmap.org/node/1959963602,2026-07-15,pending_review,Imported from OpenStreetMap.
Junction Hotel,1 Plenty Road,pub,darebin,,,https://www.junctionhotel.net.au,https://www.openstreetmap.org/node/1959978856,2026-07-15,pending_review,Imported from OpenStreetMap.
Inthanon Thai,182 High Street,restaurant,darebin,,+61 3 9489 4970,,https://www.openstreetmap.org/node/2118855993,2026-07-15,pending_review,Imported from OpenStreetMap.
Helluva,178 High Street,hairdresser,darebin,,+61 3 9486 6603,https://helluva.com.au/,https://www.openstreetmap.org/node/2118858999,2026-07-15,pending_review,Imported from OpenStreetMap.
Raqwa Cafe and Beer Garden,224 Plenty Road,cafe,darebin,,,,https://www.openstreetmap.org/node/2131736596,2026-07-15,pending_review,Imported from OpenStreetMap.
Stolberg Beer Cafe,,pub,darebin,,,,https://www.openstreetmap.org/node/2131736622,2026-07-15,pending_review,Imported from OpenStreetMap.
Mag Wheel & Tyre,102 Chifley Drive,tyres,darebin,,,,https://www.openstreetmap.org/node/2131739222,2026-07-15,pending_review,Imported from OpenStreetMap.
Liberty,,fuel,darebin,,,,https://www.openstreetmap.org/node/2131757127,2026-07-15,pending_review,Imported from OpenStreetMap.
Belchif Snack Bar,,cafe,darebin,,+61 3 9484 2524,,https://www.openstreetmap.org/node/2131763847,2026-07-15,pending_review,Imported from OpenStreetMap.
Supercheap Auto,,car-parts,darebin,,,https://www.supercheapauto.com.au/,https://www.openstreetmap.org/node/2131763900,2026-07-15,pending_review,Imported from OpenStreetMap.
Raglan Cafe,41 Raglan Street,cafe,darebin,,+61 3 9480 0130,,https://www.openstreetmap.org/node/2131769387,2026-07-15,pending_review,Imported from OpenStreetMap.
Albert Street Automotive,78 Albert Street,car-repair,darebin,,+61 3 9470 1052,,https://www.openstreetmap.org/node/2131784048,2026-07-15,pending_review,Imported from OpenStreetMap.
Drummond Golf,,golf,darebin,,,https://www.drummondgolf.com.au/,https://www.openstreetmap.org/node/2131819008,2026-07-15,pending_review,Imported from OpenStreetMap.
Metco,,fuel,darebin,,,,https://www.openstreetmap.org/node/2131827274,2026-07-15,pending_review,Imported from OpenStreetMap.
Fairfield Central Automotive,"155-157 Station Street, Fairfield VIC 3078",car-repair,fairfield,,,,https://www.openstreetmap.org/node/2131828609,2026-07-15,pending_review,Imported from OpenStreetMap.
Titan Self Storage,,storage-rental,darebin,,,,https://www.openstreetmap.org/node/2131836075,2026-07-15,pending_review,Imported from OpenStreetMap.
Autobarn,,car-parts,darebin,,+61 3 9470 3744,https://www.autobarn.com.au/,https://www.openstreetmap.org/node/2191861525,2026-07-15,pending_review,Imported from OpenStreetMap.
Hardware Cafe,,cafe,darebin,,,,https://www.openstreetmap.org/node/2191916901,2026-07-15,pending_review,Imported from OpenStreetMap.
Preston Cafeteria,,fast-food,darebin,,,,https://www.openstreetmap.org/node/2210833378,2026-07-15,pending_review,Imported from OpenStreetMap.
Woolworths Liqour,,alcohol,darebin,,,https://bws.com.au/,https://www.openstreetmap.org/node/2271619927,2026-07-15,pending_review,Imported from OpenStreetMap.
Best Turkish Bakery & Kebabs,348 High Street,fast-food,darebin,,+61 3 9486 3800,,https://www.openstreetmap.org/node/2365435363,2026-07-15,pending_review,Imported from OpenStreetMap.
Wild Yak Tibetan Restaurant,350 High Street,restaurant,darebin,,,https://www.wildyakrestaurant.com/,https://www.openstreetmap.org/node/2365435369,2026-07-15,pending_review,Imported from OpenStreetMap.
Brother Bon,377-379 High Street,restaurant,darebin,,+61 3 9077 1335,https://www.brotherbon.com.au/,https://www.openstreetmap.org/node/2365435372,2026-07-15,pending_review,Imported from OpenStreetMap.
Nam Nam,209 High Street,fast-food,darebin,,,,https://www.openstreetmap.org/node/2365435378,2026-07-15,pending_review,Imported from OpenStreetMap.
Westgarth Liquor,97 High Street,alcohol,darebin,,,,https://www.openstreetmap.org/node/2365435381,2026-07-15,pending_review,Imported from OpenStreetMap.
IGA,"284-288 High Street, VIC 3070",supermarket,darebin,,,https://www.iga.com.au/,https://www.openstreetmap.org/node/2365435390,2026-07-15,pending_review,Imported from OpenStreetMap.
Lambs,305 High Street,restaurant,darebin,,,,https://www.openstreetmap.org/node/2365435396,2026-07-15,pending_review,Imported from OpenStreetMap.
Preston Pho,"471 High Street, Preston VIC 3072",restaurant,preston,,,,https://www.openstreetmap.org/node/2406631387,2026-07-15,pending_review,Imported from OpenStreetMap.
LevelTwo,,nightclub,darebin,,,,https://www.openstreetmap.org/node/2412963893,2026-07-15,pending_review,Imported from OpenStreetMap.
Wesley Anne,"250 High Street, Northcote VIC 3070",pub,northcote,,,https://wesleyanne.com.au/,https://www.openstreetmap.org/node/2422476525,2026-07-15,pending_review,Imported from OpenStreetMap.
Zagame's Bottle Shop,,alcohol,darebin,,,https://zagames.com.au/,https://www.openstreetmap.org/node/2477811429,2026-07-15,pending_review,Imported from OpenStreetMap.
Zagame's,,restaurant,darebin,,,https://zagames.com.au/,https://www.openstreetmap.org/node/2477811430,2026-07-15,pending_review,Imported from OpenStreetMap.
Westgarth Convenience,,convenience,darebin,,,,https://www.openstreetmap.org/node/2599122483,2026-07-15,pending_review,Imported from OpenStreetMap.
Welcome Mart,,convenience,darebin,,,,https://www.openstreetmap.org/node/2599123191,2026-07-15,pending_review,Imported from OpenStreetMap.
Best Friends,,pet,darebin,,,https://www.bestfriendspets.com.au/,https://www.openstreetmap.org/node/2599142244,2026-07-15,pending_review,Imported from OpenStreetMap.
Carpet Call Floor Centre,,carpet,darebin,,,https://www.carpetcall.com.au/,https://www.openstreetmap.org/node/2599156888,2026-07-15,pending_review,Imported from OpenStreetMap.
Our Vet,,veterinary,darebin,,,,https://www.openstreetmap.org/node/2599158119,2026-07-15,pending_review,Imported from OpenStreetMap.
VAEAI Naamalata,,clinic,darebin,,,,https://www.openstreetmap.org/node/2622996145,2026-07-15,pending_review,Imported from OpenStreetMap.
Con's Fish & Chips,,fast-food,darebin,,,,https://www.openstreetmap.org/node/2623007562,2026-07-15,pending_review,Imported from OpenStreetMap.
Friendly Supermarket,,convenience,darebin,,,,https://www.openstreetmap.org/node/2623008561,2026-07-15,pending_review,Imported from OpenStreetMap.
Caremore Pharmacy,,pharmacy,darebin,,,,https://www.openstreetmap.org/node/2623008994,2026-07-15,pending_review,Imported from OpenStreetMap.
Mottainai Cycles,148 Arthurton Road,bicycle,darebin,,,https://vintagebikesmelbourne.wordpress.com/,https://www.openstreetmap.org/node/2684468142,2026-07-15,pending_review,Imported from OpenStreetMap.
Off the boat Pizzaria,,restaurant,darebin,,,,https://www.openstreetmap.org/node/2689678947,2026-07-15,pending_review,Imported from OpenStreetMap.
Marn Bo Take Away,,fast-food,darebin,,,,https://www.openstreetmap.org/node/2689678952,2026-07-15,pending_review,Imported from OpenStreetMap.
Misty's 1950's Diner,,fast-food,darebin,,,,https://www.openstreetmap.org/node/2689678954,2026-07-15,pending_review,Imported from OpenStreetMap.
7-Eleven,,convenience,darebin,,,https://www.7eleven.com.au/,https://www.openstreetmap.org/node/2689678966,2026-07-15,pending_review,Imported from OpenStreetMap.
IMA Café,,cafe,darebin,,,,https://www.openstreetmap.org/node/2726372663,2026-07-15,pending_review,Imported from OpenStreetMap.
Ruthven Fish n Chips and Milk Bar,,convenience,darebin,,,,https://www.openstreetmap.org/node/2734031515,2026-07-15,pending_review,Imported from OpenStreetMap.
Edwards Street Family Clinic,,doctors,darebin,,,,https://www.openstreetmap.org/node/2735692787,2026-07-15,pending_review,Imported from OpenStreetMap.
Pizza Hut,317 Spring Street,restaurant,darebin,,,https://www.pizzahut.com.au/,https://www.openstreetmap.org/node/2735692789,2026-07-15,pending_review,Imported from OpenStreetMap.
The Bottle-o,,alcohol,darebin,,,,https://www.openstreetmap.org/node/2735692794,2026-07-15,pending_review,Imported from OpenStreetMap.
Tran Bakery,,bakery,darebin,,,,https://www.openstreetmap.org/node/2735692795,2026-07-15,pending_review,Imported from OpenStreetMap.
Woolworths,,supermarket,darebin,,,https://www.woolworths.com.au/,https://www.openstreetmap.org/node/2866280635,2026-07-15,pending_review,Imported from OpenStreetMap.
Boundary Espresso,107 Plenty Road,cafe,darebin,,+61 3 9484 0260,https://boundaryespresso.tumblr.com/,https://www.openstreetmap.org/node/2887172101,2026-07-15,pending_review,Imported from OpenStreetMap.
Paradise Indian Restaurant,"50 High Street, Preston VIC 3072",restaurant,preston,,+61 3 9484 5959,https://www.paradiserestaurant.com.au/,https://www.openstreetmap.org/node/2887172102,2026-07-15,pending_review,Imported from OpenStreetMap.
Joanie's Baretto,"832a High Street, Thornbury VIC 3071",bar,thornbury,,,,https://www.openstreetmap.org/node/2890078394,2026-07-15,pending_review,Imported from OpenStreetMap.
Grain express,,restaurant,darebin,,,,https://www.openstreetmap.org/node/2894825201,2026-07-15,pending_review,Imported from OpenStreetMap.
United,,gas,darebin,,,,https://www.openstreetmap.org/node/2903147201,2026-07-15,pending_review,Imported from OpenStreetMap.
Gioco,"26 Gertz Avenue, Reservoir VIC 3073",ice-cream,reservoir,,,,https://www.openstreetmap.org/node/2905129304,2026-07-15,pending_review,Imported from OpenStreetMap.
Continental Groceries,"53 Banff Street, Reservoir VIC 3073",convenience,reservoir,,,,https://www.openstreetmap.org/node/2917037723,2026-07-15,pending_review,Imported from OpenStreetMap.
Everest Cafe,,cafe,darebin,,,,https://www.openstreetmap.org/node/2933009008,2026-07-15,pending_review,Imported from OpenStreetMap.
Pizza Man On High,694 High Street,fast-food,darebin,,,,https://www.openstreetmap.org/node/2941442605,2026-07-15,pending_review,Imported from OpenStreetMap.
Chinese Shipping,424 High Street,yes,darebin,,,,https://www.openstreetmap.org/node/2941686988,2026-07-15,pending_review,Imported from OpenStreetMap.
Spot On Dry Cleaner,395 High Street,dry-cleaning,darebin,,+61 3 9470 2664,,https://www.openstreetmap.org/node/2941686999,2026-07-15,pending_review,Imported from OpenStreetMap.
Fried Hustle,346 High Street,fast-food,darebin,,,https://www.friedhustle.com.au/,https://www.openstreetmap.org/node/2941771696,2026-07-15,pending_review,Imported from OpenStreetMap.
Melbourne Power Tools & Repairs,268-272 High Street,hardware,darebin,,,https://mptr.com.au/,https://www.openstreetmap.org/node/2941772406,2026-07-15,pending_review,Imported from OpenStreetMap.
Zagreb Croatian Bookshop,309 High Street,books,darebin,,,https://www.zagrebcroatianbookshop.com.au/,https://www.openstreetmap.org/node/2941772409,2026-07-15,pending_review,Imported from OpenStreetMap.
Doll Box,"93-103 High Street, Preston VIC 3072",hairdresser,preston,,+61 3 8414 5700,,https://www.openstreetmap.org/node/2941772438,2026-07-15,pending_review,Imported from OpenStreetMap.
lui.boss,1 Cook Street,restaurant,darebin,,+61 3 8589 9650,,https://www.openstreetmap.org/node/2945204671,2026-07-15,pending_review,Imported from OpenStreetMap.
Confectioner's Favourites,"3 The Strand, Preston VIC 3072",confectionery,preston,,,,https://www.openstreetmap.org/node/2945204677,2026-07-15,pending_review,Imported from OpenStreetMap.
Athina's Deli,"28 The Centerway, Preston VIC 3072",deli,preston,,,,https://www.openstreetmap.org/node/2945204679,2026-07-15,pending_review,Imported from OpenStreetMap.
Discount Nuts Sweets Beans & Spices,23 Mary Street,convenience,darebin,,+61 3 9470 3098,,https://www.openstreetmap.org/node/2945204682,2026-07-15,pending_review,Imported from OpenStreetMap.
Preston Market Health Foods,"237 Earle Street, Preston VIC 3072",health-food,preston,,,,https://www.openstreetmap.org/node/2945204683,2026-07-15,pending_review,Imported from OpenStreetMap.
Preston Exchange,300 Wood Street,telecommunication,darebin,,,,https://www.openstreetmap.org/node/2945211448,2026-07-15,pending_review,Imported from OpenStreetMap.
The D'Souzas Indian Groceries,8 The Strand,convenience,darebin,,+61 413 380 476,,https://www.openstreetmap.org/node/2959454014,2026-07-15,pending_review,Imported from OpenStreetMap.
New Lin Harvest,6 The Strand,convenience,darebin,,,,https://www.openstreetmap.org/node/2959454015,2026-07-15,pending_review,Imported from OpenStreetMap.
Eat@Menzies,,cafe,darebin,,,,https://www.openstreetmap.org/node/3003930226,2026-07-15,pending_review,Imported from OpenStreetMap.
Menzies,,theatre,darebin,,,,https://www.openstreetmap.org/node/3003930232,2026-07-15,pending_review,Imported from OpenStreetMap.
Cafe Moat,,cafe,darebin,,,,https://www.openstreetmap.org/node/3003930236,2026-07-15,pending_review,Imported from OpenStreetMap.
Charlie's,,cafe,darebin,,,,https://www.openstreetmap.org/node/3019271335,2026-07-15,pending_review,Imported from OpenStreetMap.
Caffeine,,cafe,darebin,,,,https://www.openstreetmap.org/node/3019271336,2026-07-15,pending_review,Imported from OpenStreetMap.
Writer's Block,,cafe,darebin,,,,https://www.openstreetmap.org/node/3019313433,2026-07-15,pending_review,Imported from OpenStreetMap.
Schnitz,,fast-food,darebin,,,https://www.Schnitz.com.au,https://www.openstreetmap.org/node/3066672533,2026-07-15,pending_review,Imported from OpenStreetMap.
Mesob,213 High Street,restaurant,darebin,,,https://www.mesob.com.au/,https://www.openstreetmap.org/node/3088929512,2026-07-15,pending_review,Imported from OpenStreetMap.
TAB,"280 High Street, Northcote VIC 3070",bookmaker,northcote,,,,https://www.openstreetmap.org/node/3088974109,2026-07-15,pending_review,Imported from OpenStreetMap.
Select 7,"502 Plenty Road, Preston VIC 3072",convenience,preston,,+61 3 9470 2280,,https://www.openstreetmap.org/node/3093849611,2026-07-15,pending_review,Imported from OpenStreetMap.
Nelly's Ark,,pet,darebin,,,,https://www.openstreetmap.org/node/3106352729,2026-07-15,pending_review,Imported from OpenStreetMap.
EB Games,,video-games,darebin,,,https://ebgames.com.au,https://www.openstreetmap.org/node/3106352929,2026-07-15,pending_review,Imported from OpenStreetMap.
The Black Mark,"57 High Street, VIC 3070",tattoo,darebin,,,https://www.theblackmark.com.au/,https://www.openstreetmap.org/node/3148629929,2026-07-15,pending_review,Imported from OpenStreetMap.
Barry Plant Bundoora,1177 Plenty Road,estate-agent,darebin,,+61 3 9467 5444,https://www.barryplant.com.au/bundoora/,https://www.openstreetmap.org/node/3233746160,2026-07-15,pending_review,Imported from OpenStreetMap.
Nutrition Warehouse,1171 Plenty Road,nutrition-supplements,darebin,,,https://www.nutritionwarehouse.com.au/pages/bundoora-vitamins-and-supplements,https://www.openstreetmap.org/node/3233746561,2026-07-15,pending_review,Imported from OpenStreetMap.
Bang Bang,337 High Street,restaurant,darebin,,,,https://www.openstreetmap.org/node/3240846569,2026-07-15,pending_review,Imported from OpenStreetMap.
Abdul's Halal Takeaway,"22 Elizabeth Street, Coburg VIC 3058",restaurant,coburg,,,,https://www.openstreetmap.org/node/3315891166,2026-07-15,pending_review,Imported from OpenStreetMap.
Hungry Jacks,,fast-food,darebin,,,https://www.hungryjacks.com.au/,https://www.openstreetmap.org/node/3316867890,2026-07-15,pending_review,Imported from OpenStreetMap.
Simply Gnocchi,399 High Street,restaurant,darebin,,,,https://www.openstreetmap.org/node/3335140065,2026-07-15,pending_review,Imported from OpenStreetMap.
Casa Nata,"846 High Street, Thornbury VIC 3071",pastry,thornbury,,+61 431 180 838,https://casanata.com.au/,https://www.openstreetmap.org/node/3376061062,2026-07-15,pending_review,Imported from OpenStreetMap.
Bar Lingo,"875 High Street, Thornbury VIC 3071",bar,thornbury,,,,https://www.openstreetmap.org/node/3376061070,2026-07-15,pending_review,Imported from OpenStreetMap.
Thornbury Laundry,"754 High Street, Thornbury VIC 3071",laundry,thornbury,,,,https://www.openstreetmap.org/node/3376061071,2026-07-15,pending_review,Imported from OpenStreetMap.
The Gentry Menswear,703 High Street,clothes,darebin,,,https://www.thegentrymenswear.com.au/,https://www.openstreetmap.org/node/3376061303,2026-07-15,pending_review,Imported from OpenStreetMap.
Mr Cao's Chinese Medicine Clinic,"675a High Street, Thornbury VIC 3071",doctors,thornbury,,+61 3 9484 5514,https://www.drcaochinesemedicine.com.au/,https://www.openstreetmap.org/node/3376061307,2026-07-15,pending_review,Imported from OpenStreetMap.
Melbourne Boutique Flowers,145 Bell Street,florist,darebin,,+61 3 9495 1649,,https://www.openstreetmap.org/node/3376273093,2026-07-15,pending_review,Imported from OpenStreetMap.
Pizza and Kebabs on Bell,,restaurant,darebin,,+61 3 9480 0384,,https://www.openstreetmap.org/node/3376273094,2026-07-15,pending_review,Imported from OpenStreetMap.
Cheesecake Shop,,deli,darebin,,,,https://www.openstreetmap.org/node/3387681615,2026-07-15,pending_review,Imported from OpenStreetMap.
Florist,,florist,darebin,,,,https://www.openstreetmap.org/node/3387681616,2026-07-15,pending_review,Imported from OpenStreetMap.
Kingsbury Fish Shop,,fast-food,darebin,,,,https://www.openstreetmap.org/node/3387681617,2026-07-15,pending_review,Imported from OpenStreetMap.
Sri Lankan,,restaurant,darebin,,,,https://www.openstreetmap.org/node/3387681618,2026-07-15,pending_review,Imported from OpenStreetMap.
